date,bond_spread_corporate,bond_spread_sovereign
01/03/2022,100,100
01/04/2022,100.7272727,100.3448276
01/05/2022,99.63636364,100
01/06/2022,101.0909091,102.0689655
01/07/2022,101.0909091,102.0689655
01/10/2022,102.1818182,103.4482759
01/11/2022,103.2727273,103.7931034
01/12/2022,104,103.4482759
01/13/2022,105.8181818,104.8275862
01/14/2022,105.8181818,105.1724138
01/17/2022,105.8181818,105.1724138
01/18/2022,108.7272727,106.5517241
01/19/2022,108.3636364,106.5517241
01/20/2022,106.5454545,105.5172414
01/21/2022,107.2727273,106.2068966
01/24/2022,108.3636364,108.2758621
01/25/2022,107.2727273,107.5862069
01/26/2022,105.0909091,105.1724138
01/27/2022,106.9090909,106.2068966
01/28/2022,108.3636364,106.5517241
01/31/2022,108,106.2068966
02/01/2022,107.2727273,105.1724138
02/02/2022,107.2727273,104.4827586
02/03/2022,105.8181818,103.7931034
02/04/2022,104.3636364,103.1034483
02/07/2022,106.9090909,105.5172414
02/08/2022,107.2727273,105.5172414
02/09/2022,106.5454545,104.8275862
02/10/2022,102.5454545,102.0689655
02/11/2022,106.1818182,106.2068966
02/14/2022,106.1818182,107.2413793
02/15/2022,107.6363636,105.5172414
02/16/2022,108.3636364,105.5172414
02/17/2022,110.1818182,107.9310345
02/18/2022,111.2727273,109.6551724
02/21/2022,111.6363636,110
02/22/2022,112.3636364,111.7241379
02/23/2022,114.9090909,115.1724138
02/24/2022,123.2727273,130.3448276
02/25/2022,123.2727273,122.7586207
02/28/2022,132.3636364,133.1034483
03/01/2022,138.1818182,136.8965517
03/02/2022,134.1818182,132.7586207
03/03/2022,136.3636364,134.8275862
03/04/2022,141.0909091,142.4137931
03/07/2022,142.1818182,145.862069
03/08/2022,143.6363636,143.7931034
03/09/2022,140,138.2758621
03/10/2022,139.2727273,134.8275862
03/11/2022,141.8181818,134.137931
03/14/2022,142.1818182,131.7241379
03/15/2022,143.6363636,132.0689655
03/16/2022,142.9090909,128.2758621
03/17/2022,141.0909091,125.5172414
03/18/2022,140,126.5517241
03/21/2022,134.1818182,123.4482759
03/22/2022,134.9090909,124.8275862
03/23/2022,135.2727273,126.8965517
03/24/2022,134.5454545,125.862069
03/25/2022,129.4545455,122.0689655
03/28/2022,130.9090909,122.4137931
03/29/2022,130.1818182,120.6896552
03/30/2022,128.7272727,120
03/31/2022,110.1818182,111.0344828
04/01/2022,108.7272727,110.6896552
04/04/2022,107.6363636,109.3103448
04/05/2022,105.0909091,106.8965517
04/06/2022,106.5454545,109.6551724
04/07/2022,105.8181818,108.9655172
04/08/2022,105.8181818,109.6551724
04/11/2022,108,111.3793103
04/12/2022,112,114.8275862
04/13/2022,112,115.1724138
04/14/2022,108,112.4137931
04/15/2022,108,112.4137931
04/18/2022,108.3636364,111.7241379
04/19/2022,108,112.4137931
04/20/2022,109.8181818,114.137931
04/21/2022,108.3636364,112.4137931
04/22/2022,110.5454545,115.1724138
04/25/2022,112.7272727,118.9655172
04/26/2022,114.9090909,120
04/27/2022,116,121.3793103
04/28/2022,114.1818182,121.0344828
04/29/2022,113.8181818,122.7586207
05/02/2022,108.7272727,122.0689655
05/03/2022,109.4545455,124.8275862
05/04/2022,113.0909091,125.5172414
05/05/2022,109.4545455,121.3793103
05/06/2022,111.2727273,123.7931034
05/09/2022,114.9090909,130.3448276
05/10/2022,116.7272727,132.0689655
05/11/2022,117.4545455,132.7586207
05/12/2022,120.7272727,135.5172414
05/13/2022,118.5454545,132.4137931
05/16/2022,120.3636364,134.4827586
05/17/2022,117.4545455,131.0344828
05/18/2022,120.7272727,134.4827586
05/19/2022,121.8181818,136.5517241
05/20/2022,122.9090909,136.8965517
05/23/2022,120.3636364,132.7586207
05/24/2022,122.9090909,135.1724138
05/25/2022,120.7272727,133.1034483
05/26/2022,118.9090909,130
05/27/2022,117.4545455,127.2413793
05/30/2022,117.4545455,126.8965517
05/31/2022,115.6363636,124.8275862
06/01/2022,112.7272727,123.4482759
06/02/2022,114.1818182,123.7931034
06/03/2022,113.0909091,123.1034483
06/06/2022,111.6363636,121.7241379
06/07/2022,113.4545455,125.5172414
06/08/2022,111.2727273,125.5172414
06/09/2022,111.2727273,127.9310345
06/10/2022,108.7272727,128.6206897
06/13/2022,112,133.7931034
06/14/2022,111.2727273,132.0689655
06/15/2022,116.3636364,134.137931
06/16/2022,119.2727273,137.5862069
06/17/2022,119.2727273,137.9310345
06/20/2022,119.6363636,137.9310345
06/21/2022,120.3636364,136.2068966
06/22/2022,125.0909091,140.6896552
06/23/2022,126.5454545,141.3793103
06/24/2022,125.4545455,139.3103448
06/27/2022,124.3636364,137.2413793
06/28/2022,125.8181818,140
06/29/2022,130.1818182,145.862069
06/30/2022,133.0909091,149.3103448
07/01/2022,134.1818182,147.9310345
07/04/2022,134.1818182,147.2413793
07/05/2022,137.4545455,150
07/06/2022,134.1818182,146.8965517
07/07/2022,134.5454545,145.1724138
07/08/2022,131.6363636,143.7931034
07/11/2022,135.2727273,148.2758621